monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude,additional_facilities
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,850 sq.ft.,Partially Furnished,"Playground, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area, Swimming Pool, Sauna","Off Jalan Sentul Pasar, Sentul, Kuala Lumpur","Sentul Point Suite 3 Rooms Unit For Rent<br><br>Monthly Rental : RM 1,700<br><br>Partially Furnished Unit<br>- 850 sq.ft<br>- 3 Bedrooms<br>- 2 Bathrooms<br>- 1 Car Park<br>- Lights & Fan<br>- Aircond & Water Heater<br>- Fridge & Washing Machine <br>- Kitchen Cabinet<br><br>Don’t hesitate to contact Max 012-6335717 for actual unit viewing. Thanks<br><br>Call/WhatsApp/SMS<br>Max Low<br>REN 17733<br>012-6335717",Kuala Lumpur,Sentul,2025-04-16 09:52,2025-04-16,110597277,,,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,200 per month","House, For rent",1-storey Terraced House,3,2,1000 sq.ft.,Partially Furnished,,,"BM, near B Garden Single Story Corner With Partially Furnished.<br><br>🛏️ 3 Bedrooms, 2 Bathrooms<br>🍽️ Dry & Wet Kitchen – Equipped with Fridge & Washing Sinks<br>🍴 Dining Area<br>🚗 Car Porch – Fits 2 Cars<br>🏡 Spacious Layout – Perfect for Family or Friends Gathering<br><br>Nearby Amenities:<br>🏪 Convenience Stores, FamilyMart, etc.)<br>🏫 Schools & Kindergartens<br>🕌 Mosque / ⛪ Church / 🛕 Temple (based on area)<br>🛒 Morning and Night Market<br>☕ Cafes & Restaurants<br>🚑 Clinics & Pharmacies<br>🚗 Easy Access to Main Roads & Highways<br><br>https://wa.me/60124547942<br><br>Kindly contact Ms Fish Ling 012-4547942 for more info and arrangement of Viewing.",Penang,Bukit Mertajam,2025-04-16 09:50,2025-04-16,110807932,,,
"RM 2,900 per month","House, For rent",Cluster House,5,5,2240 sq.ft.,Fully Furnished,"Security, Playground, Jogging Track",,CLUSTER HOUSE @ BESTARI HEIGHTS TAN NUSA BESTARI<br><br>4+1 bed 5 bath<br>Fully furnished <br>Ready to move in<br>Grab now!!!<br><br>Call or whatsapp<br>Akmal +60137192929,Johor,Johor Bahru,2025-04-16 09:50,2025-04-16,110854812,,,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Fully Furnished,"Parking, Security, Playground, Lift, Multipurpose hall, Swimming Pool, Gymnasium, Sauna, Barbeque area, Jogging Track","Persiaran Bayan Indah Off Bayan Mutiara, Gelugor, Penang",**Quaywest tower B studio unit full seaview fully furnished 500 sqft **<br><br>Studio 500sqft Unit<br>High Floor Fully Seaview <br>Interior Design Modern Luxury Renovated and Furnished<br>1Bedroom 1Bathroom 1Parking<br>Fully Kitchen Cabinet <br>Fridge+Washing Machine & cooker<br>Bedframe with matress & Display cabinet<br>Airocn & heater provide <br>Free Wifi to Tenant<br>Rental : Rm2300 with WiFi <br><br>-5min can reach Queensway Mall<br>-10min can reach Penang 1st bridge<br>-10min can reach USM College<br><br>Key in hand <br>To know more detail or appoiment viewing kindly WhatsApp or contact 016-4417340 Sunny Yang,Penang,Gelugor,2025-04-16 09:55,2025-04-16,110793221,,,"Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,700 sq.ft.,Fully Furnished,"Gymnasium, Parking, Barbeque area, Swimming Pool, Security, Playground, Lift","Persiaran Sunsuria, Sunsuria City, Sepang, Selangor","Tangerine Suites Condo @Sunsuria City For Rent<br><br>Monthly Rental : RM 1,600<br><br>Fully Furnished Unit<br>- 700 sq.ft<br>- 3 Bedrooms<br>- 2 Bathroom<br>- 2 Car Park <br>- Middle Floor<br>- Fridge & Washing Machine<br>- Kitchen Cabinet <br>- Aircond & Water Heater<br> <br>3 Min to XiaMen University <br>5 Min to ERL Salak Tinggi Station<br>5 Min to KIP Mall Kota Warisan<br>10 Min to Cyberjaya & Putrajaya<br>15 Min to KLIA 1 & 2<br><br>Don’t hesitate to contact Max 012-6335717 for actual unit viewing.<br><br>Call/WhatsApp/SMS<br>Max Low<br>REN 17733<br>012-6335717",Selangor,Sepang,2025-04-16 09:52,2025-04-16,109321640,2.8370947563536943,101.69652554537934,"Cooking Allowed, Air-Cond, Washing Machine"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1140 sq.ft.,Fully Furnished,"Parking, Jogging Track, Multipurpose hall, Playground, Gymnasium, Lift, Barbeque area, Club house, Security, Swimming Pool, Sauna","Lorong Lembah Indah 1, Simpang Ampat, Penang",#0209<br><br>Royale Infinity @ Simpang Ampat<br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR rent<br><br>- 1140sqft<br>- 3 bedroom<br>- 2 bedroom<br>- 2 carpark<br>- ⁠ Fully furniture<br><br> <br><br>Asking RM1600💰 Only <br><br>Call Gordon Lim To View Actual Unit  <br>Gordon Lim 0174047896<br>http://api.whatsapp.com/send?phone=60174047896&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :Gordon Lim 0174047896  <br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产,Penang,Simpang Ampat,2025-04-16 09:55,2025-04-16,110698573,,,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1500 sq.ft.,Partially Furnished,,,"2 storey terrace house SL 7 Bandar Sungai Long<br><br>Pls Call Kenny 012-3628828<br><br>zero one two  three six two eight eight two eight<br><br><br> Minimum one-year contract<br> 24-hour security<br> Near UTAR, bank, shops, and secondary school<br> Minimum one-year contract<br> No pets<br><br><br>- Friendly neighbourhood<br>- Nearby amenities are banks, restaurants, convenience stores etc<br><br>Ren 02567<br><br>Others",Selangor,Bandar Sungai Long,2025-04-16 09:51,2025-04-16,110561269,,,
RM 650 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,,,For Rent<br>Seri Mawar Apartment @Butterworth With Bare Unit for Rent.<br><br>💯💯💯💯<br>Build up: 650sqft<br>Bedroom:3<br>Bathroom:2<br>Car Park: Free<br><br>💰💰Rental: RM 650.00💰<br><br>https://wa.me/60124547942<br><br>Kindly contact Ms Fish Ling 012-4547942 for more info and arrangement of Viewing.,Penang,Butterworth,2025-04-16 09:50,2025-04-16,110798329,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Partially Furnished,"Barbeque area, Parking, Swimming Pool, Gymnasium, Multipurpose hall, Security, Playground, Club house","Jalan Margosa SD 10/1E, Bandar Sri Damansara, Selangor",@ good environment<br>@ quiet and peaceful<br>@ well kept and clean<br>@ part furnish<br>@ must view <br>please do not hesitate and call 012-380 5022 for more information !!!,Selangor,Bandar Sri Damansara,2025-04-16 09:59,2025-04-16,108518017,3.1952246374981934,101.61304510396755,
"RM 1,550 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Not Furnished,,,@ peaceful and quiet<br>@ with security<br>@ well kept and clean<br>@ wider road<br>@ easy access<br>@ behind petronas station<br>@ must view<br>Please do not hesitate to call 012-380 5022 for further details !!!,Selangor,Batu Caves,2025-04-16 09:58,2025-04-16,110730469,,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Off Persiaran Bestari, Cyber 11, Cyberjaya, Selangor","Best Rent 🪙 at Solstice Residence Near The Arc, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Solstice Residence Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br>   https://wa.me/60133332630<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 2 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Fully furnished unit with stylish decor<br>• 1000sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 400 meters<br>    •🍗 KFC – 300 meters<br>    •🎓 University of   Cyberjaya – 250 meters<br>    •📖 Multimedia University (MMU) – 200 meters<br>    •🌳 Cyberjaya Lake Gardens – 500 meters<br>    •🛍 Tamarind Square – 200 meters<br>    •🚑 Cyberjaya Hospital-1 km<br>    •📖 SK Cyberjaya School- 300 meters<br>    •📖 SMK Cyberjaya School- 300 meters<br>    •📖 King Henry Viii College- 400 meters<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206<br>    https://wa.me/60133332630",Selangor,Cyberjaya,2025-04-16 09:58,2025-04-16,110732861,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,818 sq.ft.,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Jalan Sunsuria 1, Bandar Sunsuria, Sepang, Selangor","The Olive Condo @Sunsuria City For Rent<br><br>Monthly Rental : RM 1,500<br><br>Fully Furnished Unit<br>- 818 sq.ft<br>- 3 Bedrooms<br>- 2 Bathrooms<br>- 2 Car Park <br>- Kitchen Cabinet<br>- Lights & Fan<br>- Aircond<br>- Water Heater<br>- Curtain<br><br>3 Min to XiaMen University <br>5 Min to ERL Salak Tinggi Station<br>5 Min to KIP Mall Kota Warisan<br>10 Min to Cyberjaya & Putrajaya<br>15 Min to KLIA 1 & 2<br><br>Location just next to XiaMen University. Suitable for those who study in XiaMen University and working around Kota Warisan & KLIA.<br><br>Don’t hesitate to contact Max 012-6335717 for actual unit viewing. Thanks<br><br>Call/WhatsApp/SMS<br>Max Low<br>REN 17733<br>012-6335717",Selangor,Sepang,2025-04-16 09:52,2025-04-16,109152413,,,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1500 sq.ft.,Partially Furnished,,,"2 storey terrace house SL 7 Bandar Sungai Long<br><br>Pls Call Kenny 012-3628828<br><br>zero one two  three six two eight eight two eight<br><br><br><br><br><br> Minimum one-year contract<br> 24-hour security<br> Near UTAR, bank, shops, and secondary school<br> Minimum one-year contract<br> No pets<br><br><br>- Friendly neighbourhood<br>- Nearby amenities are banks, restaurants, convenience stores etc<br><br>Ren 02567<br><br>Others",Selangor,Bandar Sungai Long,2025-04-16 09:56,2025-04-16,110561328,,,
