monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1260 sq.ft.,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed","Jalan Mutiara 3, Mutiara Heights, Kajang, Selangor","Partially Furnished AMEERA RESIDENCE at Mutiara Heights Kajang<br><br>INCLUDING MAINTENANCE !!!<br><br>========================<br>Rental : RM1,100/month only<br>========================<br><br>Details:<br>—————-<br>- Middel level <br>- Built Up : 1,250 sqft<br>- Bedrooms : 3<br>- Bathrooms : 2<br>- Parking Lot : 2 side by side<br><br><br>Partially Furnished :<br>———————————-<br><br>Air conditioner x 4<br>Water heaters x 2<br>Build in gas stove<br>Hob and Hood<br>Kitchen Cabinet <br>Concrete table top<br><br>Facilities:<br>——————<br>- 24 Hours Security<br>- Basketball Court<br>- Barbeque Area<br>- Covered Car Park<br>- Perimeter Fencing<br>- Fitness Corner<br>- Gymnasium Room<br>- Jogging Track<br>- Landscaped Garden<br>- Multipurpose Hall<br>- Pool Deck<br>- Playground<br>- Reading Room<br>- Swimming Pool<br>- Wading Pool<br>- Aeroyoga Room<br><br>Pls call for viewing:<br><br>Terence - 0122086097<br>Terence - 0122086097<br>Terence - 0122086097",Selangor,Kajang,2025-02-24 11:51,2025-02-24,110200309,3.033613978027687,101.80467338738575
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Playground, Parking, Security, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Mutiara 4, Prima Saujana, Kajang, Selangor","Pangsapuri Saujana Permai 2<br>* Rental Rm1000 INCLUDING MAINTENANCE FEES.<br><br>Partly Furnished :-<br>- Grill, Lighting, Fan<br>- Air Con x 3 units (every room)<br>- Water Heater x 2 units<br>- Kitchen Cabinet<br>- Every rooms with wardrobe<br>- TV console at Living hall<br>- Refrigerators<br><br>Features :-<br>- MRT Bus to pickup heading MRT station***<br>- 24 Hour Security<br>- Size - 1055 sq.ft<br>- 3 Bedroom 2 Bathroom<br>- 2 Carpark<br>- Wall tiles to Ceiling Height<br>- Wooden Door Leaf with Grille<br>- Low Density<br>- Separated Yard & Balcony for Additional Practicality<br>- Renovated and Completed Unit<br>- Balcony / Patio<br>- Cable TV<br><br>PLS CALL FOR VIEWING <br><br>TERENCE - 0122086097<br>TERENCE - 0122086097<br>TERENCE - 0122086097",Selangor,Kajang,2025-02-24 11:51,2025-02-24,109914667,,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,3,1100 sq.ft.,Partially Furnished,"Security, Playground, Parking, Multipurpose hall, Lift, Swimming Pool","Air-Cond, Cooking Allowed","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor","Condo Idaman Abadi Blok G for Rent<br><br>Blok G only have 2 blok and  separate with blok ABCDE , RM1100 INCLUDING MAINTENANCE !!!<br><br> <br>- Built in Kitchen Cabinet <br>- Fridge<br>- Tv Cabinet<br>- 1022 sqft<br>- 3 Bedrooms<br>- 3 Bathroom<br>- Aircond for 3 rooms<br>- Water heater for 3 bathrooms<br>- Wardrobe for 3 rooms<br><br><br><br>AMENITIES:<br>- Kajang2<br>- Kajang Bandar Teknologi<br>- Tesco Semenyih<br>- New Econsave Semenyih 2<br>- MCD / KFC / PIZZA HUT<br>- University Nottingham Malaysia<br>- Kolej Professional MARA Beranang<br>- MARA JAPAN Industrial Institute<br>- Klinik Kesihatan Beranang<br>- Shell Petrol Station<br><br>Kindly contact for viewing:<br>Terence 0122086097<br>Terence 0122086097<br>Terence 0122086097",Selangor,Kajang,2025-02-24 11:50,2025-02-24,108961892,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Multipurpose hall, Playground, Lift, Parking",,"Lebuh Bukit Rimau, Taman Bukit Kemuning, Kota Kemuning, Selangor",WTL<br><br>Kota Kemuning<br>Kemuning Idaman<br>900sqft <br>3Room2bathroom <br>2car park<br>Fan& light<br>Grill<br>Brandnew unit <br>Ready move in <br><br>Rental 1200,Selangor,Kota Kemuning,2025-02-24 11:50,2025-02-24,110250204,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,870 sq.ft.,Fully Furnished,"Swimming Pool, Security, Playground, Lift, Barbeque area, Multipurpose hall, Parking, Gymnasium",,"Jalan Aman Simfoni 1, Bandar Tropicana Aman, Kuala Langat, Selangor","WTL<br><br>Tropicana Aman 1 Condo Urban Home, Bandar Rimbayu<br><br>870sft<br>2+1 Bedroom 3 Bathroom <br>Fully Furnished <br>Balcony <br>24 hrs Security & Guarded <br>Move In Condition <br>Low Floor <br>Non Bumi <br><br>Rental Price: RM1800",Selangor,Kuala Langat,2025-02-24 11:50,2025-02-24,110250200,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1109 sq.ft.,Partially Furnished,"Club house, Parking, Security, Playground, Multipurpose hall, Swimming Pool",,"Tuai Residence Show Gallery, Lot 98513, Persiaran Setia Damai, Shah Alam, Selangor","WTL<br><br>Tuai Setia Alam<br><br>-Type A:1109sqft<br>-3 Rooms<br>-2 Bathrooms<br>-Partial Furnished <br>- Aircon<br>- Kitchen cabinet <br>- Fans & lights<br>- Yard Window<br>- Wet kitchen table top<br>-2 Carpark <br>-Balcony <br><br>Rental Rm2,200",Selangor,Shah Alam,2025-02-24 11:50,2025-02-24,110250257,,
"RM 2,700 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Security, Swimming Pool, Barbeque area, Multipurpose hall, Playground, Gymnasium, Jogging Track, Minimart",,"Lot 108634, Persiaran Sepang, Cyber 11, Cyberjaya, Selangor",WTL <br><br>Lakefront home cyberjaya<br>1010sqft <br>3Room2bathroom<br>Fully furnished <br>Move in condition<br>2car park <br><br>Rental 2700 nego <br>Damon 0166319586,Selangor,Cyberjaya,2025-02-24 11:50,2025-02-24,110250252,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Not Furnished,"Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Club house",,"Jalan Ecohill 1/2, Setia Ecohill, Semenyih, Selangor","Pangsapuri Serumpum D'Cerrum Apartment<br>- 3 rooms, 2 baths<br>- 950sqft, 2 carparks<br>- facilities: 24-hour security, swimming pool, gym, mini mart, multipurpose hall, etc<br>- ready to move in now!<br><br>Interested, can nego<br>Please Call/WhatsApp :<br>0178280953<br>MAY CHUNG (REN 71562)<br>The Roof Realty",Selangor,Semenyih,2025-02-24 11:50,2025-02-24,107871225,2.922950469162594,101.85062415220165
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,876 sq.ft.,Fully Furnished,"Parking, Gymnasium, Security, Sauna, Barbeque area, Lift, Swimming Pool, Minimart, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Puchong Utama 2, Puchong, Selangor","Suria Garden Unit For Rent,Condo Puchong Utama Disewa,Fully Furnish<br><br>- 876 sqft <br>- 3 bedrooms + 2 bathrooms<br>- 2 carparks<br>- Fully Furnish <br>- Rental : RM 2,350<br><br>For more info / viewing, Kindly Contact / Whatsapp:-<br>Ann Wai ,019-9559028<br>ONE MAKER Realty (REN34419)",Selangor,Puchong,2025-02-24 11:49,2025-02-24,110134019,2.986546,101.6217722
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Minimart, Parking, Lift",Cooking Allowed,"Jalan Maju 2/1, Taman Lembah Maju,, Ampang, Selangor",Taman lembah maju<br>600 apartments <br>Have lift<br><br>3 room2 bath<br>1 parking <br>Partially photo<br>Actual photo<br><br>Contact mr Colin lau 0179566399,Selangor,Ampang,2025-02-24 11:49,2025-02-24,110154299,3.125799927617487,101.7585010244093
"RM 1,400 per month","House, For rent",Terraced House,4,3,1650 sq.ft.,Not Furnished,,,,"2 Storey House in Meranti Hillpark, Bandar Saujana Utama<br><br>Asking Rental: RM 1,400<br><br>Property Details:<br>- Unit size: 1,650 sqft<br>- 4 Rooms & 3 bathrooms<br>- Non Furnished<br><br>Facilities: Security, Parking and Playground<br><br>AMENITIES NEARBY :<br>- Schools<br>- Econsave, Eco-Shop, Tesco<br>- Fast Foods (Burger King, KFC, McDonald's, Dominos, etc)<br>- Petrol Pumps<br><br>CONNECTIVITY:<br>** LATAR Highway<br>** GUTHRIE Highway<br>** DASH Highway<br>** NKVE Highway<br><br>If interested, Kindly call/Whatsapp Geraldine Chan<br><br>Geraldine Chan (REN 73931)<br>0172880417<br>Property Negotiator<br>IQI Realty Sdn Bhd",Selangor,Puncak Alam,2025-02-24 11:49,2025-02-24,110092350,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1200 sq.ft.,Partially Furnished,"Parking, Security, Playground",,,"2 Storey House in Rentak Perdana, Puncak Alam<br><br>Asking Rental: RM 1,400<br><br>Property Details:<br>- Land Size: 1,200 sqft<br>- Built Size: 1,400 sqft<br>- 4 Rooms & 3 bathrooms<br>- Partial Furnished<br><br>Facilities: Security, Parking and Playground<br><br>AMENITIES NEARBY :<br>- Schools<br>- Econsave, Eco-Shop, Tesco<br>- Fast Foods (Burger King, KFC, McDonald's, Dominos, etc)<br>- Petrol Pumps<br><br>CONNECTIVITY:<br>** LATAR Highway<br>** GUTHRIE Highway<br>** DASH Highway<br>** NKVE Highway<br><br>If interested, Kindly call/Whatsapp Geraldine Chan<br><br>Geraldine Chan (REN 73931)<br>0172880417<br>Property Negotiator<br>IQI Realty Sdn Bhd",Selangor,Puncak Alam,2025-02-24 11:49,2025-02-24,110092477,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,"Security, Parking, Playground",,,"2 Sty House Rentak Perdana Kitchen Cabinet Gated Guarded Near Surau<br><br>Asking Rental: RM 1,700<br><br>Property Details:<br>- Land Size: 1,400 sqft<br>- 4 Rooms & 3 bathrooms<br>- Partial Furnished<br><br>Facilities: Security, Parking and Playground<br><br>AMENITIES NEARBY :<br>- Schools<br>- Econsave, Eco-Shop, Tesco<br>- Fast Foods (Burger King, KFC, McDonald's, Dominos, etc)<br>- Petrol Pumps<br><br>CONNECTIVITY:<br>** LATAR Highway<br>** GUTHRIE Highway<br>** DASH Highway<br>** NKVE Highway<br><br>If interested, Kindly call/Whatsapp Geraldine Chan<br><br>Geraldine Chan (REN 73931)<br>0172880417<br>Property Negotiator<br>IQI Realty Sdn Bhd",Selangor,Puncak Alam,2025-02-24 11:49,2025-02-24,110092256,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Jogging Track, Barbeque area, Playground, Gymnasium, Lift, Multipurpose hall",,"Jalan PJS 1/52, Petaling Jaya, Selangor",Botaniqa Residence For RENT<br>Jalan PJS 1/52 (PJS 1)<br>Taman Petaling Utama<br>46000 Petaling Jaya<br>Selangor<br><br>- Condominium<br>- 3Rooms 2Baths<br>- 850sqft<br>- 2 Car Parks<br>- RENT Rm1400.00<br><br>-----------------------------------------------------------------<br>Please get full details via Whatsapp<br>Phone Number : 012-2286800 (Dean Soh)<br><br>(Exclusive Agent)<br>CRYSTAL REALTORS SDN BHD<br>DEAN SOH  (REN 17333)<br>Phone Number : 012-2286800<br><br>WhatsApp Click<br>http://WhatsappPropertyDetail.wasap.my,Selangor,Petaling Jaya,2025-02-24 11:48,2025-02-24,110250484,3.07852464010764,101.65468284990337
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,5,2,850 sq.ft.,Fully Furnished,"Parking, Security, Playground, Gymnasium, Swimming Pool, Multipurpose hall","Cooking Allowed, Washing Machine","Jalan PJS 9/1, Bandar Sunway, Petaling Jaya, Selangor",5 Individual Bedroom<br>Fully Furnished<br>Move in ready<br>Ideal for group sharing,Selangor,Petaling Jaya,2025-02-24 11:48,2025-02-24,110190150,3.073930586860711,101.61040279439727
"RM 2,200 per month","House, For rent",Semi-Detached House,4,3,2400 sq.ft.,Fully Furnished,Parking,,,"SEMI D House in Saujana Utama, Puncak Alam<br><br>Asking Rental: RM 2,200<br><br>Property Details:<br>- Fully Furnished<br>- Unit Size: 2400 sqft<br>- 4 Rooms & 3 bathrooms<br>- Aircond in Living room and Master Bedroom, Fridge, Dining Table, Katil, Sofa, Cabinet Baju<br><br>Facilities: Security and Parking<br><br>Amenities:<br>- Nearby Central Mart, SU Mall, mrdiy, Secret Recipe, ECO,BSN,Bank Rakyat, Bank Islam, Family Mart, Burger King/Subway(Stesen Minyak Caltex),Mixue,Ai-Cha, Tealive,Richiamo<br>- Mosque Saujana Utama<br><br>If interested, Kindly call/Whatsapp Geraldine Chan<br><br>Geraldine Chan (REN 73931)<br>0172880417<br>Property Negotiator<br>IQI Realty Sdn Bhd",Selangor,Puncak Alam,2025-02-24 11:48,2025-02-24,110092213,,
"RM 1,350 per month","House, For rent",2-storey Terraced House,1,2,1800 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine",,Eco forest landed house<br> broga semenyih<br><br>1 room 2 bath <br>2 parking <br>partially furnish <br>1800sqft <br><br>contact mr colin lau 0179566399,Selangor,Semenyih,2025-02-24 11:48,2025-02-24,109161394,,
"RM 2,700 per month","House, For rent",2-storey Terraced House,4,3,1900 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,"Best Rent Cyber South @ Casa Wood, 2-storey Terraced House, Cyberjaya<br>**********************************************************<br>FOR RENT NOW ! (Please contact Shamim Islam( 013-3332630 /018-9102206 for more information)<br><br>- Cyber South @ Casa Wood,<br>- Fully Furnished ,2-storey Terraced House For Rent<br>- ONLY FOR RM2700<br>- BRAND NEW UNIT<br><br>- 4 rooms + 3 baths<br>- Everything available! new unit!!<br>- Move in condition!!<br>- Suitable for family stay<br>- 1900 Sqft<br><br>** next to CYBERJAYA, DENGKIL, AND PUTRAJAYA, KOTA WARISAN AND BANDAR SERENIA<br>** Secured neighbourhood<br>** 24 hour security system<br><br>- FACILITIES:<br>- Jogging track<br>- Surau<br>- Playground<br><br><br> Advantages<br> 15 min drive to Putrajaya, IOI City Mall, Harriot Watt University, Taman Equine, Putrajaya Sentral etc<br> 30 min drive to KL<br> 20 min drive to KLIA, KLIA 2, Mitsui Outlet Park, Sepang Circuit<br> Easy access to MEX, LDP, SKVE, ELITE highways<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br> For viewing or more information<br> pls contact:  013 3332 630 (Shamim)<br> pls contact:  013 3332 630 (Shamim)<br> pls contact:  013 3332 630 (Shamim)",Selangor,Cyberjaya,2025-02-24 11:48,2025-02-24,110250475,,
"RM 1,500 per month","Apartment / Condominium, For rent",Flat,3,2,850 sq.ft.,Fully Furnished,"Parking, Playground, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Washing Machine"," Jalan Plumbum 7/95, Seksyen 7, Shah Alam, Selangor","FLAT PKNS SEKSYEN 7 Blok 18<br>berdekatan Bus UiTM/i-city<br>intake Mac/April 2025<br><br>Depan Bus Stop (Laluan UiTM) Seksyen 7<br><br>Kemasukan 2025<br>* 3 bilik tidur<br>* 1 Tandas<br>* 1 Bilik Air<br><br>Kelengkapan:<br>✅ Set Katil & Tilam x 6/7 set<br>✅ kipas siling setiap bilik x 4set<br>✅ Dapur+ tong gas x 1set<br>✅ mesin basuh x 1set<br>✅ Peti ais x 1set<br>✅ meja makan x 1set<br><br>Kemudahan :<br>3 Min ke UITM shah alam<br>2 min ke Hospital Shah Alam<br>2 min ke ICT<br>2 min masjid seksyen 7<br>Laluan bas UiTM C /RapidKl<br>Dekat medan Selera Seksyen 7<br>Kejiranan yang selamat/Keluarga Melayu<br><br>Sewaan : RM 1500 sebulan<br>Prefer : Bekerja / Bujang /Student (warganegara sahaja)<br><br>Kerosakan bulan pertama ditanggung tuan rumah !<br>Open BOOKING untuk kemasukan Mac/April2025<br><br>=======================<br>RENTAL PRICE : RM1500<br>RENTAL PRICE : RM1500<br>=======================<br>FOR INQUIRIES AND VIEWING APPOINTMENT, PLEASE CALL/WHATSAPP<br>DannyNabil @ 0132475374<br>DannyNabil @ 0132475374",Selangor,Shah Alam,2025-02-24 11:48,2025-02-24,109788096,3.0701585321125235,101.48329787670053
