monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,200 per month","House, For rent",Townhouse,3,2,1000 sq.ft.,Partially Furnished,"Parking, Playground, Jogging Track",,,"Newly repainted and repaired.<br>Located in the bukit rimau behind Columbia Hospital, Taipei school.<br><br>Viewing please call Shireen Soh 012-9333 039",Selangor,Shah Alam,2025-02-26 10:46,2025-02-26,110276750,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,861 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security, Playground, Gymnasium, Multipurpose hall","Cooking Allowed, Air-Cond","Jalan Seri Putra 1 / 2, Bandar Seri Putra, Bangi, Selangor","level 1 no lift<br><br>provide 2 parking lot<br><br>with deposit 1+1<br><br>with 2 airconds<br>1 water heater<br>kitchen cabinet<br>stove<br>hood<br>grills<br>fans<br>lights<br><br>Facilities:<br>- playground<br>- swimming pool, wading pool<br>- open gym, sauna<br>- surau<br>- multipropose hall<br>- reflexsology pond<br><br>Amenities:<br>-Primary, Secondary, KAFA schools, TASKA & Tadika<br>-TESCO, CS Hypermarket, BanSoon Market<br>-Petronas, MCD, Post office, Police station<br>-BSN, Maybank (ATM), Bank Islam (ATM), Hong Leong (ATM)<br>-Mosque Bandar Seri Putra<br>-Kolej Universiti Islam Antarabangsa Selangor (KUIS)<br><br>mr wong 0192184680",Selangor,Bangi,2025-02-26 10:45,2025-02-26,110276737,2.884265999539895,101.79118465123774
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,1033 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Lift, Security, Minimart","Washing Machine, Cooking Allowed","Jalan Bayuemas, Port Klang, Selangor","For Rent : The Tresor at Gravit 8 Service Residence Klang South <br><br>Asking Rental : RM2,300 per month<br><br>- Freehold <br>- Built Up - 1,033 sqft<br>- 3 Bedrooms<br>- 2 Bathrooms<br>- 2 Car Parks<br>- Level 9<br><br>Furnish :<br>- Sofa 2 Seater<br>- Rocking Chair<br>- Washing Machine<br>- 2 Single Bed<br>- 1 Queen Bed<br>- 1 TV<br><br>Detail Payment :<br><br>2 Month Deposit : RM4,600<br>1/2 Month Utility Deposit : RM1,150<br>1 Month Rental : RM2,300<br>Agreement : RM200<br>Total Payment : RM8,250<br><br>Raja Amirul<br>0193704591<br>www.wasap.my/60193704591/gravit<br>REN40863",Selangor,Port Klang,2025-02-26 10:45,2025-02-26,110276573,,
"RM 2,500 per month","House, For rent",3-storey Terraced House,5,4,2395 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track","Air-Cond, Near KTM/LRT",,"Canary Residence 3 Stry Town Villa Cheras Hartamas for Rent:<br><br>* 5 bedroom 4 bathroom <br>* Partly Furnished <br>- Aircond<br>- Water heater <br>- Wardrobe <br>- kitchen cabinet <br>- Lighting and fan <br>* Vacant <br>* gated and guarded <br>* Asking rental Rm2500 only <br><br>For more information, pls call / WhatsApp: <br>Melissa 018-9498599",Selangor,Cheras,2025-02-26 10:45,2025-02-26,110276507,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Lift","Cooking Allowed, Near KTM/LRT","Jalan PJU 8/9, Bandar Damansara Perdana, Damansara Perdana, Selangor",1 = 850.sgft  = 3 bedroom  2 bathroom <br>2 = 4  ceiling fan  ( 3 at every bedroom  )<br>3 = 1 parking lot reserved  (basement  )<br>4 = can  move in  any  time <br>5 = rental deposit  = First month deposit rm 2000 )<br>And second month deposit (  rm 800 deposit rental  + rm 800 ( second <br>Month  rental  )<br>6 = small family  prefer  <br>7 = contact or whatapps  = 012 3091139 ( vanessa,Selangor,Damansara Perdana,2025-02-26 10:45,2025-02-26,110276500,,
"RM 1,200 per month","Apartment / Condominium, For rent",Flat,5,2,714 sq.ft.,Not Furnished,"Parking, Security, Lift",Cooking Allowed,"Jalan Selayang Satu 27/27A, Seksyen 27, Shah Alam, Selangor","(HOUSE FOR RENT) Pangsapuri Taman Bunga Negara MC8, Seksyen 27, Shah Alam<br><br>Location : https://maps.app.goo.gl/BtfEmQ6L2FnJjWi78<br><br>*Rumah Untuk Disewa Sesuai Untuk Hostel/Pekerja*<br>- 5 bedroom + 2 bathroom<br>- Kitchen Tabletop<br>- Setiap bilik ada kipas siling<br>- Lantai ada tiles<br><br>✅ Berhampiran dengan SIME DARBY Medical College, Kilang PROTON, HICOM<br>✅ 5minit ke Main Place, One City Mall, 15 min ke Subang Parade, Summit USJ, Sunway Piramid, MYDIN & GIANT USJ<br>✅ KESAS Hwy, ELITE Hwy<br>✅ Feeder Bus ke LRT Alam Megah: T757, Bus: 752<br><br>- Deposit Payment: 1+2+1/2+RM300 (Admin Fees)<br>1 month advance rental<br>2 months security deposit<br>1/2 month deposit utilities<br>RM300 (Admin Fees)<br><br>- Contract: 1 Year minimum stay (deposit not refundable if less than1 Year)<br>- Malaysia citizen only. (Prefer Chinese and Malay)<br>- Tenant need to keep their space clean and pay rent on time every month<br><br>HOUSE AVAILABLE NOW!!<br><br>Contact Details:<br>Rayyan @ 6018-2494038 (9pg-5pm)<br>Or<br>Whatsapp direct: http://Wasap.my/60182494038",Selangor,Shah Alam,2025-02-26 10:40,2025-02-26,106501405,3.0172843,101.562403
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,660 sq.ft.,Fully Furnished,"Security, Gymnasium, Squash Court, Jogging Track, Sauna, Parking, Playground, Tennis Court, Barbeque area, Club house, Swimming Pool, Lift",,"Jalan Saujana Putra, Bandar Saujana Putra, Selangor",Studio fully furnish <br>available 01 March 2025<br><br><br>2R1B<br>Kitchen cabinet with stove<br>1 queen size<br>1 single bed<br>1 dining table with chairs<br>3 aircond,Selangor,Bandar Saujana Putra,2025-02-26 10:40,2025-02-26,110276701,2.9447116631418795,101.58690436207732
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Parking, Barbeque area, Playground, Lift, Multipurpose hall, Security, Swimming Pool, Gymnasium",,"Jalan Aman Simfoni 1, Bandar Tropicana Aman, Kuala Langat, Selangor",Fully Furnish 3R2B<br>Ready move in now<br><br>Kitchen cabinet <br>refrigerator<br>1 queen size bed<br>2 single bed<br>new sofa<br>2 toilet <br>2 car park,Selangor,Kuala Langat,2025-02-26 10:40,2025-02-26,110276694,,
"RM 1,800 per month","House, For rent",1.5-storey Terraced House,3,2,1250 sq.ft.,Not Furnished,"Parking, Barbeque area, Minimart","Air-Cond, Near KTM/LRT",,"Rumah 1.5 Storey Terraced End Lot. <br>25 x 70 feet.<br>Property Size 1250 sq ft<br>Renovation for Living, Dining and Kitchen.<br>2 Bedroom with Air-conditioning.<br>",Selangor,Batu Caves,2025-02-26 10:39,2025-02-26,110276685,,
RM 550 per month,"Apartment / Condominium, For rent",Apartment,3,2,760 sq.ft.,Partially Furnished,"Parking, Security, Playground","Cooking Allowed, Washing Machine","Jalan Residensi Warnasari 13/1, Bandar Puncak Alam, Puncak Alam, Selangor","Apartment Melur, Puncak Alam<br>Level 4, Residensi Warnasari 3<br><br>3 Bilik Tidur, 2 Bilik Air<br>Keluasan 760 sq.ft<br>1 Reserved Parking<br>Sewa Kosong atau Furnished<br>(Furnished upon request)<br><br>Sewa Kosong: RM550 'as is'<br>Sewa Furnished: Negotiable  <br><br>Deposit Sewa : 2 Bulan<br>Deposit Api Air : 1/2 Bulan<br><br>☎️ Talk To Agent 👇<br>wasap.my/60196609212/RizalAgent<br><br>#RizalProperties",Selangor,Puncak Alam,2025-02-26 10:39,2025-02-26,109798765,3.2441007,101.4231884
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🪙 at Cyberia Smarthomes Near The Arc, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Cyberia Smarthomes Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Partially furnished unit with stylish decor<br>• 1200sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 1 km<br>    •🚑 Cyberjaya Hospital-1 km<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-26 10:36,2025-02-26,109678529,,
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🪙 at Cyberia Smarthomes Near The Arc, Cyberjaya!🌟🌟🌟<br><br>🌟 Your Ideal Living Space Awaits at Cyberia Smarthomes Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Partially furnished unit with stylish decor<br>• 1200sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 950 meters<br>    •🌳 Cyberjaya Lake Gardens – 800 meters<br>    •🛍 Tamarind Square – 1 km<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-26 10:36,2025-02-26,109952209,,
