monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude,facilities,address,additional_facilities
"RM 3,500 per month","Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Fully Furnished,"Legasi Kampong Bharu serv apt near Lrt & Klcc- fully furnish for rent<br><br>950sqft<br>Feature<br>1. 3 Rooms 2 Baths 1parking<br>2. Highest Level (43rd floor)<br>3. All rooms with air condition<br>4. Kitchen cabinet, stove gas, Fridge, Washer Dryer and TV (43inch)<br>5. Masterbedroom - King size bed<br>6. Bedroom  - Two Super Single Bed<br><br>Facilities:<br>1. Swimming Pool, Gymnasium, Playground, 24H Security, Balcony,Elevator<br><br><br>Nearby Accessibility:-<br>- Next to LRT Kg Baru Station (50m), KLCCvia Saloma Bridge ,Masjid Jamek Kg Bharu<br><br>RM3500<br>deposit 2.5month + 1st month<br><br>WASAP FADLI<br>0129081141<br>REN37233<br><br><br><br><br><br><br><br>Roslan legasy",Kuala Lumpur,KL City,2025-02-24 11:55,2025-02-24,109803342,,,"Parking, Lift, Playground, Gymnasium, Jogging Track, Minimart, Security, Swimming Pool, Tennis Court, Squash Court","Jalan Raja Muda Musa, Kampung Baru, KL City, Kuala Lumpur","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed"
"RM 1,600 per month","House, For rent",2-storey Terraced House,3,2,1302 sq.ft.,Partially Furnished,For Rent <br><br>Taman Sungai Kapar Indah <br>Double Storey House <br>Land Size: 20x65 <br>3 bedrooms <br>2 baths <br>Partial furnished with one aircon and one water heater <br><br>2 months security deposit for local Malaysian (3 months security deposit for foreigners) <br>1 month utilities deposit <br>1 month Advance rental <br>Stamping and disbursement fee <br><br>Contact 0197578686 Ray Goh,Selangor,Kapar,2025-02-24 11:54,2025-02-24,109715024,,,Parking,,Air-Cond
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1048 sq.ft.,Fully Furnished,"Nice Renovated Fully Furnished BSP21 Residence @ Bdr Saujana Putra for Rent<br><br>— Rental: rm2,200<br>— Built-up size: 1048sqft<br>— Layout: 3 Bedrooms 2 Bathrooms<br>— Come with 2 Car Park<br>— Fully Furnished (Airconds, Fans, Fridge, Washer, TV, Sofa, 2 Queen Size Beds, Water Heater, Dining Table Set)<br><br>FACILITIES:<br>— Up to a total of 70 kinds Facilities Available <br>— 24hrs Security System<br>— Swimming Pool<br>— Gym<br>— BBQ<br>— Jogging Track<br>— Playground<br>— Sauna<br>— Tennis Court<br>— Sky Garden<br><br>[AMENITIES:]<br>— Nearby to MAHSA International School, MAHSA University College and MAHSA Hospital<br>— Nearby Mall like Quayside Mall, Eco Sanctuary Mall <br>— 10mins Driving Distance to Kota Kemuning<br>— 15mins Driving Distance to USJ or Cyberjaya via ELITE Highway <br>— 10-15mins to Puchong via Jalan Kebun to Taman Mas Puchong area<br>— 20-25mins to KLIA<br>— 30-40mins to Banting & Klang<br>— Nearby Kindergarten, International Schools & University like R.E.A.L Kids, Eduwis, Oasis International School, Tenby International School, SJK(C) Bukit Fraser, MAHSA University <br>— Neighborhood Hospital as Columbia Hospital, New MAHSA Specialize Hospital<br><br>[ACCESSIBILITY:]<br>— Connected by highway Lebuhraya Shah Alam (KESAS), Lebuhraya Kemuning Shah Alam (LKSA), South Klang Valley Expressway (SKVE), Expressway Lingkaran Tengah (Elite) and proposed West Coast Expressway (WCE).<br>— Easy Access to KESAS highway via Kota Kemuning exit<br>— Easy Accessible to SKVE, ELITE Highway via Bdr Saujana Putra exit<br><br>For More Info or Viewing Arrangement, Pls do not hesitate to Contact/WhatsApp:<br>William Pua<br>+6016-290 9886<br><br>~Owner are Welcome to List your Property~",Selangor,Bandar Saujana Putra,2025-02-24 11:53,2025-02-24,109876523,2.9447116631418795,101.58690436207732,"Swimming Pool, Gymnasium, Squash Court, Parking, Security, Jogging Track, Sauna, Club house, Playground, Lift, Barbeque area, Tennis Court","Jalan Saujana Putra, Bandar Saujana Putra, Selangor","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,2800 sq.ft.,Partially Furnished,"Rumah Teres Lot Tapi Untuk Sewa <br><br>[ Extra Land 20feet ] Corner Lot DCendana Bandat Tasik Kesuma Beranang, Eco Forest <br><br>📍built up 22*70ft (extra land 20ft)<br>📍New house just got key 2023<br>📍basic unit<br>📍4 rooms 3 baths<br>📍Facing：East, Sun rise<br>📍Gated and guarded <br><br>RM1800 sewa bulan pertama<br>RM3600 2 bulan deposit <br>RM90 0.5 bulan utility deposit <br>RM360 tenancy agreement <br><br><br>#cornerlotforsales<br>#dcenana<br>#guarded&gated<br>#Thambi",Selangor,Semenyih,2025-02-24 11:53,2025-02-24,109512309,,,"Parking, Security",,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"I Regency For Rent :<br><br>- 1100sqft<br>- 3 Bedroom, 2 Bathroom<br>- 1 Car Park<br>- Fully Furnished<br>- Renovated<br>- Well Maintained<br>- Move In Condition<br>- Strategic Location<br>- View to Offer<br>- Located at Bukit Gambier Gelugor<br><br>Asking Rental RM1800 / Month ONLY!!!<br>View to Believe!!<br>View to Appreciate!!<br>SUPER DEAL!!<br>LAST UNIT!!<br><br>If Interested Kindly Direct Call or Whatapps YB Chan 016-4233305 For More Information and Arrange Viewing.",Penang,Gelugor,2025-02-24 11:53,2025-02-24,110186544,,,"Barbeque area, Sauna, Tennis Court, Gymnasium, Playground, Security, Minimart, Swimming Pool, Jogging Track, Parking, Lift","Lebuh Minden 1, Off Jalan Bukit Gambier, Gelugor, Penang","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Villa Emas For Rent :<br><br>- 850sqft<br>- 3 Bedroom, 2 Bathroom<br>- 1 Car Park<br>- Fully Furnished<br>- Fully Renovated<br>- Middle Floor<br>- Well Maintained<br>- Move In Condition<br>- Strategic Location<br>- View to Offer<br>- Located at Bayan Lepas<br><br>Asking Rental RM1600 / Negotiable!!<br>View to Believe!!<br>View to Appreciate!!<br>SUPER DEAL!!<br><br>If Interested Kindly Direct Call or Whatapps YB Chan 016-4233305 For More Information and Arrange Viewing.",Penang,Bayan Lepas,2025-02-24 11:53,2025-02-24,109736607,5.339790398185972,100.3096809579485,"Security, Minimart, Gymnasium, Squash Court, Barbeque area, Playground, Jogging Track, Parking, Tennis Court, Swimming Pool, Sauna, Lift","Persiaran Bayan Indah, Bayan Lepas, Penang","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Fully Furnished,"Mutiara Indah FOR Rent :<br><br>- 800sqft<br>- 3 Bedroom, 2 Bathroom, 1 Car Park<br>- Fully Furnished<br>- Fully Renovated<br>- Middle Floor<br>- Well Maintained<br>- Move In Condition<br>- Strategic Location<br>- View to Offer<br>- Located at Gelugor<br><br>Asking Rental RM1200 / Month ONLY!!<br>View to Believe!!<br>View to Appreciate!!<br>SUPER DEAL!!<br><br>If Interested Kindly Direct Call or Whatapps YB Chan 016-4233305 For More Information and Arrange Viewing.",Penang,Gelugor,2025-02-24 11:53,2025-02-24,109714396,,,"Parking, Security, Lift","Changkat Bukit Gambier, Gelugor, Penang","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,2,1,700 sq.ft.,Fully Furnished,"Taman Jubilee For Rent :<br><br>- 700sqft<br>- 2 Bedroom, 1 Bathroom<br>- 1 Car Park<br>- Fully Furnished, Renovated<br>- Well Maintained<br>- Move In Condition<br>- Strategic Location<br>- View to Offer<br>- Located at Sungai Dua, LipSin<br><br>Asking Rental RM1050 / Month ONLY!!!<br>View to Believe!!<br>View to Appreciate!!<br>SUPER DEAL!!<br>FEW Unit on hand!!<br><br>If Interested Kindly Direct Call or Whatapps YB Chan 016-4233305 For More Information and Arrange Viewing.",Penang,Gelugor,2025-02-24 11:53,2025-02-24,108981716,,,"Parking, Jogging Track, Lift, Security","Lengkok Nipah 3, Taman Lip Sin,, Gelugor, Penang","Cooking Allowed, Washing Machine"
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,549 sq.ft.,Partially Furnished,"Whatsapp Me Now For More Details And Information!<br><br>-549 sq ft <br>-1 room , 1 bathroom <br>-1 car parking <br>-Built in kitchen cabinet , eletrolux cooker <br>-Refrigerator <br>-Washing machine <br>-Mattress <br>-Aircond x2<br>-Facing Sierramas<br><br>Brian Tan<br>016-36O1113<br>016-36O1113<br>016-36O1113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.<br><br>87216",Selangor,Sungai Buloh,2025-02-24 11:52,2025-02-24,110078351,3.198233586627722,101.56606163849025,"Gymnasium, Parking, Security, Playground, Multipurpose hall, Jogging Track, Swimming Pool, Lift","Jalan Welfare, Kampung Baru Sungai Buloh, Sungai Buloh, Selangor","Air-Cond, Cooking Allowed"
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Whatsapp Me Now For More Details And Information!<br><br>- 850 sf<br>- 3 room 2 bathroom<br>- High Floor<br>- Kitchen Table Top<br>- Air Cond<br>- Tv Cabient<br><br>Brian Tan<br>016-3601113<br>016-3601113<br>016-3601113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.<br>85772",Kuala Lumpur,Kepong,2025-02-24 11:52,2025-02-24,110074558,,,"Swimming Pool, Security, Playground, Parking, Minimart, Jogging Track, Lift","Persiaran KIP Utama, Kipark Damansara, Kepong, Kuala Lumpur","Cooking Allowed, Air-Cond"
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,819 sq.ft.,Fully Furnished,"Whatsapp Me Now For More Details And Information!<br><br>- 819 sf<br>- 3 room 2 bathroom<br>- High Floor<br>- 1 Carpark<br>- Corner Unit <br><br>Brian Tan<br>016-3601113<br>016-3601113<br>016-3601113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.",Kuala Lumpur,Jalan Ipoh,2025-02-24 11:52,2025-02-24,110162475,,,"Parking, Jogging Track, Barbeque area, Security, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Jalan Kasipillay, Off Jalan Sultan Azlan Shah, Jalan Ipoh, Kuala Lumpur","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT"
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,1,1,450 sq.ft.,Partially Furnished,"Whatsapp Me Now For More Details And Information!<br><br>- 450sqft<br>- 1rooms 1 baths, 1 car park<br>- Built in kitchen cabinet<br>- Water Heater<br>- Air Cond<br>- High floor<br><br>Brian Tan<br>016-360 1113<br>016-360 1113<br>016-360 1113<br>FROM SINLAND REAL ESTATE<br><br>DEAR VALUED OWNERS,<br>If you are owners of any properties and planning to SELL or RENT your properties, you are most welcome to lists with me.",Selangor,Ampang,2025-02-24 11:52,2025-02-24,110074541,,,"Playground, Lift, Gymnasium, Security, Swimming Pool, Squash Court, Sauna, Parking","Jalan Ukay, Persiaran Ampang Ukay, Ampang, Selangor","Cooking Allowed, Air-Cond"
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1260 sq.ft.,Partially Furnished,"Partially Furnished AMEERA RESIDENCE at Mutiara Heights Kajang<br><br>INCLUDING MAINTENANCE !!!<br><br>========================<br>Rental : RM1,100/month only<br>========================<br><br>Details:<br>—————-<br>- Middel level <br>- Built Up : 1,250 sqft<br>- Bedrooms : 3<br>- Bathrooms : 2<br>- Parking Lot : 2 side by side<br><br><br>Partially Furnished :<br>———————————-<br><br>Air conditioner x 4<br>Water heaters x 2<br>Build in gas stove<br>Hob and Hood<br>Kitchen Cabinet <br>Concrete table top<br><br>Facilities:<br>——————<br>- 24 Hours Security<br>- Basketball Court<br>- Barbeque Area<br>- Covered Car Park<br>- Perimeter Fencing<br>- Fitness Corner<br>- Gymnasium Room<br>- Jogging Track<br>- Landscaped Garden<br>- Multipurpose Hall<br>- Pool Deck<br>- Playground<br>- Reading Room<br>- Swimming Pool<br>- Wading Pool<br>- Aeroyoga Room<br><br>Pls call for viewing:<br><br>Terence - 0122086097<br>Terence - 0122086097<br>Terence - 0122086097",Selangor,Kajang,2025-02-24 11:51,2025-02-24,110200309,3.033878,101.8049712,"Jogging Track, Swimming Pool, Playground, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area","Jalan Mutiara 3, Mutiara Heights, Kajang, Selangor","Air-Cond, Cooking Allowed"
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Pangsapuri Saujana Permai 2<br>* Rental Rm1000 INCLUDING MAINTENANCE FEES.<br><br>Partly Furnished :-<br>- Grill, Lighting, Fan<br>- Air Con x 3 units (every room)<br>- Water Heater x 2 units<br>- Kitchen Cabinet<br>- Every rooms with wardrobe<br>- TV console at Living hall<br>- Refrigerators<br><br>Features :-<br>- MRT Bus to pickup heading MRT station***<br>- 24 Hour Security<br>- Size - 1055 sq.ft<br>- 3 Bedroom 2 Bathroom<br>- 2 Carpark<br>- Wall tiles to Ceiling Height<br>- Wooden Door Leaf with Grille<br>- Low Density<br>- Separated Yard & Balcony for Additional Practicality<br>- Renovated and Completed Unit<br>- Balcony / Patio<br>- Cable TV<br><br>PLS CALL FOR VIEWING <br><br>TERENCE - 0122086097<br>TERENCE - 0122086097<br>TERENCE - 0122086097",Selangor,Kajang,2025-02-24 11:51,2025-02-24,109914667,,,"Playground, Parking, Security, Jogging Track, Lift","Jalan Mutiara 4, Prima Saujana, Kajang, Selangor","Air-Cond, Cooking Allowed, Near KTM/LRT"
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,3,1100 sq.ft.,Partially Furnished,"Condo Idaman Abadi Blok G for Rent<br><br>Blok G only have 2 blok and  separate with blok ABCDE , RM1100 INCLUDING MAINTENANCE !!!<br><br> <br>- Built in Kitchen Cabinet <br>- Fridge<br>- Tv Cabinet<br>- 1022 sqft<br>- 3 Bedrooms<br>- 3 Bathroom<br>- Aircond for 3 rooms<br>- Water heater for 3 bathrooms<br>- Wardrobe for 3 rooms<br><br><br><br>AMENITIES:<br>- Kajang2<br>- Kajang Bandar Teknologi<br>- Tesco Semenyih<br>- New Econsave Semenyih 2<br>- MCD / KFC / PIZZA HUT<br>- University Nottingham Malaysia<br>- Kolej Professional MARA Beranang<br>- MARA JAPAN Industrial Institute<br>- Klinik Kesihatan Beranang<br>- Shell Petrol Station<br><br>Kindly contact for viewing:<br>Terence 0122086097<br>Terence 0122086097<br>Terence 0122086097",Selangor,Kajang,2025-02-24 11:50,2025-02-24,108961892,,,"Security, Playground, Parking, Multipurpose hall, Lift, Swimming Pool","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor","Air-Cond, Cooking Allowed"
