monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1378 sq.ft.,Fully Furnished,"Parking, Playground, Squash Court, Multipurpose hall, Gymnasium, Security, Club house, Minimart, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Jalan Forest City 5, Forest City, Gelang Patah, Johor","Forest City FULLY FURNISH Cerulean Bay DIRECT BUS to SG Seaview apartment <br><br>For Rent RM2,500 nego<br><br>Cerulean Bay @ Forest City Seaview Condominium<br>#johorproperties #apartmentforrent #tuassecondlink #fullyfurnish #marketlowest #forestcity    <br><br>✅ For Rent ✅<br><br>- 1378 sqft<br>- 3 Bedroom 2 Bathroom<br>- Fully furnished with interior design<br>- Direct bus to Tuas 2nd link CIQ <br>- Mid floor unblock view<br>- 1 carpark <br><br>Rental: RM2,500 nego<br><br>.<br>Tony Lim 托尼 (REN 32714)<br>The Roof Realty @ M-Fighters <br>☎️ +6011-16190308<br>📱 https://wa.link/ep5ejt",Johor,Gelang Patah,2025-04-16 10:10,2025-04-16,110855065,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,792 sq.ft.,Fully Furnished,"Parking, Lift, Gymnasium, Jogging Track, Minimart, Swimming Pool, Security, Playground, Tennis Court, Squash Court, Club house, Multipurpose hall, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Ampang Ulu 3, Kampung Berembang, Ampang, Kuala Lumpur","Arte Plus | 2 Rooms, 2 Baths | Fully Furnished | 1 Carpark<br><br>Looking for a stylish and comfortable home? This 2-bedroom, 2-bathroom unit at Arte Plus is fully furnished and move-in ready!<br><br>✨ Property Details:<br>✔ 2 Bedrooms, 2 Bathrooms<br>✔ Fully Furnished – Sofa, dining set, beds, wardrobes, air-conditioners, water heater, and more!<br>✔ 1 Covered Carpark<br>✔ Modern kitchen with fridge, washing machine & cooking appliances<br>✔ High-floor unit with great views<br><br>🏡 Facilities:<br>✅ Swimming Pool<br>✅ Gym & Sky Lounge<br>✅ 24/7 Security<br>✅ Covered Parking<br><br>📍 Prime Location:<br>📌 Minutes away from KL City Centre<br>📌 Easy access to MRR2, AKLEH, and major highways<br>📌 Near shopping malls, restaurants, and public transport<br><br>💰 Rental Price: RM2,200/month<br><br>📩 Contact us now for viewing",Kuala Lumpur,Ampang,2025-04-16 10:08,2025-04-16,110629554,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,1,2,665 sq.ft.,Fully Furnished,"Swimming Pool, Security, Parking, Playground, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan PJU 10/1a, Prima Damansara, Damansara Damai, Selangor",Sphere Duplex 1Room2Bath Fully Furnished Move In Ready Now Actual Pic<br><br>Sphere Prima Damansara Duplex Fully Furnished Move In Ready now<br>Delicious Duplex Condo Studio Sphere Damansara @ Damansara Damai<br>Duplex studio<br>LAST Unit (RARE Duplex) Fully Furnished Move In ready<br><br>have Full Height Curtains<br>Kitchen Cabinet<br>Induction Cooker<br>1 bedroom<br>2 bathrooms<br>1 car park<br><br>- Edwin Wong<br>- 016..98 3 6882 <br>- Rm 1600.00,Selangor,Damansara Damai,2025-04-16 10:10,2025-04-16,110855045,3.1983235028548034,101.60005239996885
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,3,1082 sq.ft.,Partially Furnished,"Parking, Jogging Track, Security, Lift, Squash Court, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Bangi Avenue 6, Bangi Avenue, Kajang, Selangor","HOT UNIT!!🔥🔥|Residensi Adelia 2, Persiaran Bangi Avenue 2 🔥🔥<br><br>Alamat<br>D-23-03, RESIDENSI ADELIA 2, <br>JLN PERSIARAN BANGI AVENUE 2, <br>TAMAN BANGI AVENUE, <br>43000 KAJANG SELANGOR<br><br>DETAILS<br><br>- Build up : 1082sqft<br>- No of Bedroom : 3 <br>- No of Bathroom : 3<br>- Parking provided : 2<br>- Balcony, Laundry room<br><br>Partial furnished:<br>- 3 unit aircond<br>- 3 built-in wardrobes<br>- 3 water heater <br>- 1 unit refrigerator<br>- Kitchen cabinet + built-in kitchen stove <br>- Tv cabinet <br><br>Facilities:<br>24hrs gated security<br>Swimming Pool<br>Indoor gym with jogging tracks<br>Multi-Purpose Hall<br>kindergarten<br>Playground<br>Minimart and cafe<br><br>Nearby:<br>- Bangi Wonderland<br>- KTM Bangi<br>- Lotus / CS shopping mart<br>- Starbucks, McDonald's, KFC<br><br>Accessibility:<br>==========<br>- PLUS Highway<br>- SILK Highway<br>- ELITE Higway<br>- KLIA/Nilai<br>- Semenyih/Seremban<br><br>===============================<br>Rental Rate : RM1400/mo (negotiable)<br><br>Deposit: 1+1+utility<br>===============================<br><br>Available for viewing :)<br>kindly Contact<br>Faiz Ashaary<br>019-9353403",Selangor,Kajang,2025-04-16 10:09,2025-04-16,110807579,2.898835754605394,101.79260608154989
RM 250 per month,"Apartment / Condominium, For rent",Service Residence,1,1,135 sq.ft.,Not Furnished,Parking,,"Jalan 2/108d, Taman Sungai Besi, Sungai Besi, Kuala Lumpur","<br><br>UNO Promenade Sungai Besi CarPark<br>- Low floor car park, no need to keep turning<br>- Minimum contract 12 months<br>- 3 months deposit<br>- Non negotiable price, unless lump sum 12 months payment",Kuala Lumpur,Sungai Besi,2025-04-16 10:07,2025-04-16,110855202,3.0930580329252453,101.69930142809764
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,1,650 sq.ft.,Fully Furnished,"Playground, Parking, Security, Club house, Swimming Pool, Gymnasium, Lift, Sauna, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed","Jalan KLJ 5, Taman Kota Laksamana, Melaka City, Melaka","Kindly Contact Wasap.my/+60122234522/Thewave<br><br>For Rent@ RM 1100<br>Property Details:<br>✔ Lift Apartment<br>✔ Land Area: 650 sf<br>✔ 2 Bedroom & 1 Bathroom<br>✔ Fully Furnish<br>✔ Peaceful Environment<br>✔ Highly Demand & Good For Investment<br><br>****************************************************************<br>For More Details/ Viewing Appointment, Please Call",Melaka,Melaka City,2025-04-16 10:07,2025-04-16,108255395,2.19718885,102.237706
RM 700 per month,"Apartment / Condominium, For rent",Service Residence,1,1,180 sq.ft.,Fully Furnished,"Jogging Track, Minimart, Playground, Parking, Security, Gymnasium, Lift, Swimming Pool, Squash Court",Air-Cond,"Off Persiaran Dato Menteri, Vista Alam, Seksyen 14, Shah Alam, Selangor","Shah Alam City center, walking distance to govt dept and attractions, food court within same building, plenty of facilities.   Whatapp only no calls.",Selangor,Shah Alam,2025-04-16 10:11,2025-04-16,110855233,,
"RM 350,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,771 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Gymnasium, Security, Lift",,"Jalan Medini Utara 1, Iskandar Puteri, Johor","For Sale<br><br>T1 , D Pristine @ Iskandar puteri柔佛热门2房公寓出售<br><br>🇲🇾靠近第二通道Tuas Link💫来回新马工作超方便🎉对面有legoland乐园，5分钟到Puteri Harbour富人区🌴到美食cafe转个弯就到🚗10多分钟到Bukit Indah Aeon/Lotus商业旺地段🙌🏻<br><br>- 771sqft<br>- high floor<br>- 2 bed 2 bath<br>- Partial Furnish <br>- ⁠Non Bumi<br>- leasehold <br>- Maintenance fee :RM226.49<br>- ⁠Tenanted , RM1300, if buyer want to move in immediately owner settle.<br>- ⁠city view <br><br>- Tenanted until October 2025 with RM 1300<br><br><br>Remark to agent : 3% commission <br><br><br>Asking Price: RM350K<br><br>🏡BUY / SALE / RENT 买/卖/租<br>Welcome Owner's Listings 欢迎屋主委托产业<br>We Will Assists To Sale / Rent Your Property In Shortest Time 以团队销售的方式在最短时间脱售/出租您的产业 <br><br>（Ren 75279）<br>☎️ Please WhatsApp <br>Tara Ti<br>0177677468<br><br>https://wa.link/an772r<br>Wa.me/60177677468",Johor,Iskandar Puteri,2025-04-16 10:10,2025-04-16,110855084,1.4305143484431648,103.63011171381208
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1500 sq.ft.,Not Furnished,Parking,Cooking Allowed,,For Rent<br><br>Bandar Botanic Angsana <br>2 Storey House Klang <br><br>-20x75 <br>-4 room <br>-3 bathroom <br>-Freehold <br>-Basic Unit <br>-Non Bumi Lot <br>-Table Top <br><br>Rental RM1700<br><br>Please contact Zackinn 013-9944901 or for further info<br><br>(JET LK),Selangor,Bandar Botanic,2025-04-16 10:10,2025-04-16,110855082,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,2,2,801 sq.ft.,Fully Furnished,"Jogging Track, Security, Gymnasium, Parking, Barbeque area, Multipurpose hall, Swimming Pool, Lift",,"Jalan Eco Meadows Off Jalan Paboi, Simpang Ampat, Penang","#1060<br>Eco Bloom @ Simpang Ampat <br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR rent<br><br>- 802sf方尺<br>- 2 Bedroom <br>- ⁠2 Bathroom<br>- ⁠2 Car park <br>- Fully Furnished<br><br>For rent: Rm1,300<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0122791643<br>http://api.whatsapp.com/send?phone=60122791643&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :JasonLim 0122791643  <br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Simpang Ampat,2025-04-16 10:10,2025-04-16,109211750,,
"RM 1,200 per month","House, For rent",1-storey Terraced House,3,2,1056 sq.ft.,Fully Furnished,,,,"-Rumah Baru (First Tenant), Kemasukan selepas raya -Muslim only   Kelengkapan rumah: Lampu kipas  Full awning garaj (install selepas raya) Grill Satu Rumah Ruang Tamu: TV, Sofa, Cabinet TV, Meja Makan, Karpet Dapur: Kabinet Dapur, Dapur Gas, Tong Gas, Peti Ais, Mesin Basuh Bilik Tidur Utama: Katil King, Aircond, Almari Baju, Meja Solek, Water Heater (Bathroom) Bilik tidur 2 dan 3: Kosong (Kipas Lampu sahaja)  Deposit: 2+1+Utiliti  Sewa: RM1200 (tak termasuk bil utiliti)  WhatsApp:  Amirul: 0124123181 Fatimah: 0145335644",Negeri Sembilan,Seremban,2025-04-16 10:10,2025-04-16,110855225,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,1300 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan P6, Taman Pelangi, Ayer Keroh, Melaka","Ready to move in!!!!<br>Fully furnished unit at Pelangi Apartment, Ayer Keroh, Melaka, perfect for comfort and convenience.<br><br>2 balconies with great views<br><br>Nearest place<br>- Aeon Shopping Mall<br>- MMU Melaka<br>- Ayer Keroh Toll<br>- Pantai Hospital<br>- IPK Melaka",Melaka,Ayer Keroh,2025-04-16 10:07,2025-04-16,110855203,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,950 sq.ft.,Partially Furnished,"Multipurpose hall, Jogging Track, Barbeque area, Parking, Security, Playground, Gymnasium, Swimming Pool, Lift","Cooking Allowed, Air-Cond","Jalan Sungai Ara 10, Sungai Ara, Penang","Welcome to TREEO, a nature-inspired sanctuary nestled in the tranquil upper cul-de-sac of Sungai Ara. Meticulously designed to blend harmoniously with its lush surroundings, TREEO offers residents a peaceful escape without compromising on modern conveniences and city accessibility.<br><br>This 3-bedroom unit boasts a scenic balcony view overlooking the serene greenery of Sg Ara Hill. The master bedroom is semi furnished and air-conditioned, while the second bedroom also comes with air conditioning. Both bathrooms are equipped with water heaters for your comfort.<br><br>Unit Features:<br>	•	3 bedrooms<br>	•	Air conditioning in master and second bedrooms<br>	•	Fully furnished master bedroom<br>	•	Water heaters in both bathrooms<br>	•	Balcony with panoramic hill views<br>	•	One designated parking lot<br>	•	Extra furnishings can be arranged upon request<br><br>Condominium Facilities:<br>	•	Infinity swimming pool<br>	•	Jacuzzi<br>	•	Gym<br>	•	BBQ area<br>	•	Multipurpose hall<br>	•	Children’s playground<br>	•	24-hour security<br><br>Prime Location (Driving Distance):<br>	•	4km to Setia SPICE Convention Centre<br>	•	7km to Penang International Airport<br>	•	6km to Queensbay Mall<br>	•	3km to Giant Supermarket, Bayan Baru<br>	•	2km to Golden Triangle<br>	•	11km to Second Penang Bridge<br><br>Whether you’re a working professional or a family seeking a balanced lifestyle, TREEO offers the perfect blend of serenity, style, and convenience — truly a one-of-a-kind home in Penang.",Penang,Sungai Ara,2025-04-16 10:08,2025-04-16,110855216,5.324706243120469,100.26045410389942
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1140 sq.ft.,Fully Furnished,"Lift, Sauna, Security, Barbeque area, Parking, Club house, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Jogging Track",,"Lorong Lembah Indah 1, Simpang Ampat, Penang","#1012<br><br>Royale Infinity @ Simpang Ampat<br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR rent<br><br>- 1,140 sqft<br>- 3 bedroom<br>- 2 bedroom<br>- 2 carpark<br>- ⁠Fully Furnished <br><br>Asking RM1700 Only‼️🔥<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0126304352<br>http://api.whatsapp.com/send?phone=60126304352&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :Jason Lim 0126304352<br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Simpang Ampat,2025-04-16 10:05,2025-04-16,110108991,,
"RM 2,350 per month","Apartment / Condominium, For rent",Service Residence,4,2,1050 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Lift, Multipurpose hall, Security, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Sinar Sentul, Sentul, Kuala Lumpur","MiNest Residence, Sentul <br>- brand new unit (just VP)<br>- ready move in<br>- Balcony facing unblocked KLCC/KL tower/TRX/Genting Highland)<br><br>Description :<br>- 1050 Sqft<br>- 4 Bedrooms<br>- 3 Bathrooms<br>- 2 Parking lots<br><br>Fully Furnished as following:<br>- Kitchen Cabinet with new Fridge & Hood and Hob<br>- New washing Machine<br>- Beds & Mattresses, Wardrobes <br>- 3 Air-conds at Living area, Bedroom 1 & 2<br>- water heaters.<br>- Ceiling fan at all rooms & living area<br>- Fully curtain<br>- Full lighting<br>- etc<br><br>-ACCESSIBILITIES:<br>==============<br>- DUKE Highway<br>- NKVE Highway<br>- MRR2<br><br>********<br><br>Accessibility:<br>* 5km to KL City Centre<br>* Easy access to DUKE, NKVE, MRR2 highway, Jalan Ipoh & Jalan Kuching.<br><br>****************************************<br>Photos display are only for illustration purpose. Kindly PM for actual photos<br>of unit.<br>Please call/whatapps Jan Tham ( 012 729 7768 ) for viewing appointment.<br>Please call/whatapps Jan Tham ( 012 729 7768 )<br>Please call/whatapps Jan Tham ( 012 729 7768 )<br>Please call/whatapps Jan Tham ( 012 729 7768 )<br><br>***********************************************<br>Owners are welcome to list.",Kuala Lumpur,Sentul,2025-04-16 10:05,2025-04-16,110854999,3.1891904955224337,101.69067289992145
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,600 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Barbeque area, Playground, Security, Gymnasium, Sauna",,"Jalan Kempas Indah 1/3, Taman Kempas Indah, Johor Bahru, Johor","D’secret kempas full furnish studio for rent<br>15mins to CIQ ， shoplot in the surrounding area<br>.<br>D’secrect kempas<br>Rental rm1500 <br>Studio<br>Full Furnish<br>With balcony<br>High floor<br>Car park : level 1<br>For C&m tenant only<br>.<br>If interest please contact Alice 016-7174166<br>https://wa.link/7duxlo<br>.<br>Near d’summit , sky peak sky garden setia tropika impian emas",Johor,Johor Bahru,2025-04-16 10:05,2025-04-16,110854986,1.5528988,103.7151491
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,1,1,600 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,-fully furnished<br>-1 carpark<br><br>Rental Rm1800,Johor,Skudai,2025-04-16 10:01,2025-04-16,110855110,,
RM 450 per month,"House, For rent",Others,3,2,650 sq.ft.,Not Furnished,"Parking, Security",,,"FOR RENT‼️<br>======================<br>Flat Residensi Harmoni, Bandar Puteri Jaya, Sungai Petani, Kedah<br>Rental: RM450 / month<br>======================<br>DETAILS:<br>🏙Property Type: Flat<br>🏙Bedrooms: 3<br>🏙Bathrooms: 1 + 1<br>🏙Size:650 sq.ft.<br>🏙Blok B<br>🏙Not Furnished<br><br>FACILITIES:<br>➡️Open Parking<br><br>DEPOSIT:<br>✅2 months rental = RM900<br>✅1 month rental for utilities = RM250<br>✅First Month Rental = RM450<br>✅Tenancy Agreement",Kedah,Kuala Muda,2025-04-16 10:06,2025-04-16,110855189,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1378 sq.ft.,Fully Furnished,"Parking, Playground, Squash Court, Multipurpose hall, Gymnasium, Security, Club house, Minimart, Swimming Pool, Barbeque area","Air-Cond, Washing Machine, Cooking Allowed","Jalan Forest City 5, Forest City, Gelang Patah, Johor","Forest City FULLY FURNISH Cerulean Bay DIRECT BUS to SG Seaview apartment <br><br>For Rent RM2,500 nego<br><br>Cerulean Bay @ Forest City Seaview Condominium<br>#johorproperties #apartmentforrent #tuassecondlink #fullyfurnish #marketlowest #forestcity    <br><br>✅ For Rent ✅<br><br>- 1378 sqft<br>- 3 Bedroom 2 Bathroom<br>- Fully furnished with interior design<br>- Direct bus to Tuas 2nd link CIQ <br>- Mid floor unblock view<br>- 1 carpark <br><br>Rental: RM2,500 nego<br>.<br>Tony Lim 托尼 (REN 32714)<br>The Roof Realty @ M-Fighters <br>☎️ +6011-16190308<br>📱 https://wa.link/ep5ejt",Johor,Gelang Patah,2025-04-16 10:05,2025-04-16,110854994,,
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1900 sq.ft.,Fully Furnished,"Squash Court, Lift, Club house, Parking, Playground, Barbeque area, Sauna, Security, Swimming Pool, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Internet","Persiaran Lengkuas 2, Taman Seri Tanjung, Tanjong Tokong, Penang",fully renovated<br>fully furnish<br>near E&O and lotus Tanjung pinang<br>opp island plaza<br>2 carparks  (front & back)<br>facing seaview<br>viewing pls contact<br><br>Ms SUSAN NEOH<br>012-4578069,Penang,Tanjong Tokong,2025-04-16 10:05,2025-04-16,110855164,,
